Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
25,C091,30,3,21-07-2023,10:46:57,24-07-2023,14:28:42,Panipat,Anniversary
26,C040,6,3,06-03-2023,05:03:06,12-03-2023,06:06:11,Amroha,Holi
27,C063,9,2,22-08-2023,11:16:28,30-08-2023,07:59:12,Raipur,Raksha Bandhan
28,C088,42,3,05-05-2023,03:25:25,10-05-2023,07:55:04,Guwahati,All Occasions
29,C064,10,5,22-09-2023,01:06:22,01-10-2023,14:29:16,Kollam,Birthday
30,C044,23,4,13-01-2023,09:23:33,15-01-2023,13:36:58,Bulandshahr,Anniversary
31,C029,7,5,28-02-2023,13:13:22,03-03-2023,23:35:49,Nandyal,Holi
32,C065,7,5,04-03-2023,15:36:41,05-03-2023,15:54:10,Pudukkottai,Holi
33,C047,8,3,15-04-2023,01:37:27,25-04-2023,02:13:27,Amroha,Anniversary
34,C071,17,2,01-10-2023,22:58:15,05-10-2023,05:36:46,Tirupati,Anniversary
35,C055,7,5,02-03-2023,16:10:26,05-03-2023,15:00:40,Asansol,Holi
36,C029,66,1,04-03-2023,10:28:53,14-03-2023,08:14:49,New Delhi,Holi
37,C096,19,5,10-02-2023,11:01:04,15-02-2023,21:19:36,Katni,Valentine's Day
38,C067,37,3,11-11-2023,12:30:28,14-11-2023,12:24:51,Indore,Diwali
39,C054,43,2,02-11-2023,19:25:58,04-11-2023,13:28:42,Vellore,Diwali
40,C066,48,4,02-11-2023,14:15:10,05-11-2023,04:29:54,Raiganj,Diwali
41,C047,54,4,08-06-2023,19:19:50,10-06-2023,14:29:42,Saharsa,Anniversary
42,C080,35,1,26-02-2023,00:08:38,07-03-2023,17:18:28,Faridabad,Holi
43,C046,49,3,12-02-2023,22:31:16,16-02-2023,02:47:47,Sambalpur,Valentine's Day
44,C006,14,1,17-07-2023,21:57:56,27-07-2023,10:48:09,Bhavnagar,Birthday
45,C097,61,5,28-04-2023,14:26:26,29-04-2023,06:16:36,Haldia,Anniversary
46,C059,22,4,18-04-2023,03:21:11,23-04-2023,08:02:45,Guna,All Occasions
47,C013,7,5,26-02-2023,13:04:28,28-02-2023,06:00:20,Jaipur,Holi
48,C031,65,4,12-11-2023,20:00:30,16-11-2023,05:31:42,Delhi,All Occasions
49,C020,43,1,11-11-2023,17:44:30,18-11-2023,13:49:52,Nangloi Jat,Diwali
50,C014,41,4,09-11-2023,06:56:33,16-11-2023,10:19:22,Jamalpur,Diwali
51,C036,10,1,15-03-2023,09:23:49,19-03-2023,16:46:40,Agartala,Birthday
52,C023,9,1,29-08-2023,19:55:22,07-09-2023,04:22:02,Hospet,Raksha Bandhan
53,C045,9,5,20-08-2023,08:25:45,27-08-2023,05:59:31,Kozhikode,Raksha Bandhan
54,C059,30,1,13-04-2023,09:55:01,23-04-2023,14:30:59,Ratlam,Anniversary
55,C040,5,1,08-02-2023,08:01:07,13-02-2023,07:42:58,Kottayam,All Occasions
56,C095,58,5,08-02-2023,12:11:48,13-02-2023,18:51:59,Danapur,Valentine's Day
57,C090,35,5,26-02-2023,08:00:15,06-03-2023,12:27:32,Ahmedabad,Holi
58,C077,36,1,06-01-2023,02:51:30,15-01-2023,08:26:18,Amravati,Birthday
59,C041,51,5,26-06-2023,03:56:15,28-06-2023,20:10:04,Thiruvananthapuram,All Occasions
60,C023,5,2,13-12-2023,06:46:45,15-12-2023,13:03:56,Darbhanga,All Occasions
61,C058,44,2,08-11-2023,22:26:25,10-11-2023,08:08:31,Panihati,Diwali
62,C074,6,4,02-03-2023,15:30:51,06-03-2023,23:51:40,Jorhat,Holi
63,C056,42,3,25-06-2023,06:22:38,26-06-2023,15:40:04,Munger,All Occasions
64,C015,25,1,12-06-2023,02:48:39,15-06-2023,22:05:41,Chittoor,Anniversary
65,C033,54,2,01-09-2023,13:02:28,11-09-2023,06:33:52,Berhampur,Anniversary
66,C017,35,5,26-02-2023,21:00:44,27-02-2023,06:25:58,Munger,Holi
67,C047,10,2,06-07-2023,17:28:21,14-07-2023,21:11:01,Thrissur,Birthday
68,C050,34,4,25-08-2023,22:43:58,31-08-2023,21:31:14,Ahmedabad,Raksha Bandhan
69,C091,12,4,02-09-2023,19:21:41,08-09-2023,09:30:02,Hyderabad,Anniversary
70,C037,17,1,28-09-2023,04:21:09,03-10-2023,11:44:33,Vijayanagaram,Anniversary
71,C013,9,5,20-08-2023,16:32:06,28-08-2023,13:31:32,Karnal,Raksha Bandhan
72,C058,26,3,03-03-2023,15:49:26,12-03-2023,17:34:10,Bally,Holi
73,C057,26,1,03-03-2023,12:52:36,11-03-2023,01:28:36,Farrukhabad,Holi
74,C024,31,3,01-01-2023,20:55:22,07-01-2023,09:02:03,Shivpuri,All Occasions
75,C009,65,2,06-04-2023,11:10:24,09-04-2023,23:00:34,Bally,All Occasions
76,C054,4,1,09-11-2023,05:13:11,12-11-2023,00:34:50,Anand,Diwali
77,C028,42,3,05-08-2023,01:07:11,13-08-2023,16:20:52,Kanpur,All Occasions
78,C062,11,2,04-02-2023,13:00:09,08-02-2023,20:31:15,Pallavaram,Valentine's Day
79,C010,40,2,01-06-2023,17:29:30,11-06-2023,07:34:53,Varanasi,Anniversary
80,C008,39,4,02-01-2023,11:07:02,11-01-2023,02:05:50,Salem,All Occasions
81,C053,1,5,22-02-2023,18:29:21,03-03-2023,07:09:32,Kalyan-Dombivli,All Occasions
82,C038,70,3,04-08-2023,22:02:05,05-08-2023,14:08:13,Gwalior,Birthday
83,C036,27,4,23-08-2023,19:12:01,02-09-2023,14:44:00,Asansol,Raksha Bandhan
84,C032,47,1,04-03-2023,03:31:50,06-03-2023,07:02:20,Tirupati,Holi
85,C041,26,2,04-03-2023,21:35:20,14-03-2023,14:48:22,Agra,Holi
86,C046,39,4,13-09-2023,11:27:49,22-09-2023,14:09:30,Sirsa,All Occasions
87,C055,2,5,04-02-2023,13:17:21,11-02-2023,23:06:36,Malda,Valentine's Day
88,C008,15,4,22-12-2023,10:02:31,01-01-2024,12:17:55,Avadi,Anniversary
89,C060,3,5,12-02-2023,22:56:52,13-02-2023,14:41:41,Aurangabad,Valentine's Day
90,C088,41,3,09-11-2023,20:54:16,18-11-2023,17:48:35,Shahjahanpur,Diwali
91,C061,6,2,27-02-2023,13:52:56,05-03-2023,13:23:25,Mahbubnagar,Holi
92,C100,18,5,15-05-2023,00:11:18,25-05-2023,11:17:55,Rohtak,Birthday
93,C047,24,4,01-05-2023,17:50:59,03-05-2023,18:35:56,Warangal,Birthday
94,C099,69,5,02-03-2023,14:51:08,11-03-2023,08:14:49,Purnia,Holi
95,C039,70,4,29-05-2023,07:54:41,03-06-2023,07:16:33,Narasaraopet,Birthday
96,C099,25,3,14-03-2023,15:00:21,23-03-2023,08:56:06,Latur,Anniversary
97,C041,41,1,03-11-2023,20:11:32,08-11-2023,01:35:25,Bhavnagar,Diwali
98,C031,8,1,30-10-2023,15:26:00,01-11-2023,16:34:28,Bulandshahr,Anniversary
99,C050,38,3,04-11-2023,14:00:46,05-11-2023,15:44:38,Burhanpur,Birthday
100,C055,42,5,09-05-2023,05:50:07,17-05-2023,05:30:26,Bhiwani,All Occasions
101,C064,70,4,19-06-2023,03:56:52,21-06-2023,06:18:37,Belgaum,Birthday
102,C081,10,3,28-10-2023,19:34:14,06-11-2023,07:06:35,Ozhukarai,Birthday
103,C097,18,3,01-02-2023,12:24:59,08-02-2023,22:51:39,Ichalkaranji,Birthday
104,C082,51,3,29-12-2023,01:45:29,05-01-2024,00:15:28,Ahmednagar,All Occasions
105,C063,36,2,11-02-2023,02:57:36,21-02-2023,01:34:10,Guna,Birthday
106,C095,41,2,06-11-2023,17:55:46,08-11-2023,23:00:28,Chinsurah,Diwali
107,C041,4,3,06-11-2023,10:18:07,12-11-2023,14:20:21,Gorakhpur,Diwali
108,C012,26,4,27-02-2023,09:03:26,05-03-2023,08:03:05,Berhampore,Holi
109,C074,50,5,27-02-2023,15:35:48,01-03-2023,08:38:56,Gandhidham,Holi
110,C075,26,2,04-03-2023,11:23:44,13-03-2023,08:27:31,Kishanganj,Holi
111,C009,8,3,21-06-2023,14:18:57,25-06-2023,21:03:57,Ramgarh,Anniversary
112,C023,37,3,11-11-2023,06:36:04,14-11-2023,15:50:59,Kochi,Diwali
113,C032,1,3,14-11-2023,15:30:30,23-11-2023,04:26:47,Bulandshahr,All Occasions
114,C009,40,4,03-02-2023,16:03:15,07-02-2023,02:22:48,Kirari Suleman Nagar,Anniversary
115,C095,57,1,28-04-2023,18:11:22,05-05-2023,11:36:31,Jhansi,Birthday
116,C009,4,3,11-11-2023,14:28:05,20-11-2023,05:25:26,Howrah,Diwali
117,C033,59,3,20-08-2023,18:50:05,22-08-2023,03:43:01,Loni,Raksha Bandhan
118,C035,62,1,27-02-2023,14:30:59,05-03-2023,10:32:52,Bhavnagar,Holi
119,C010,6,4,04-03-2023,11:02:10,12-03-2023,12:22:18,Fatehpur,Holi
120,C050,61,1,25-12-2023,22:26:37,31-12-2023,09:57:24,Kalyan-Dombivli,Anniversary
121,C048,33,3,05-02-2023,02:18:55,09-02-2023,07:29:31,Guntur,Valentine's Day
122,C083,24,5,03-10-2023,09:04:23,13-10-2023,03:15:14,Gulbarga,Birthday
123,C026,38,1,15-01-2023,00:31:09,25-01-2023,04:58:43,Malegaon,Birthday
124,C030,67,4,21-07-2023,08:44:55,23-07-2023,05:23:44,Bhilwara,Anniversary
125,C020,31,2,19-03-2023,09:12:11,25-03-2023,14:36:11,Kolkata,All Occasions
126,C040,19,5,04-02-2023,02:28:24,13-02-2023,13:16:38,Dharmavaram,Valentine's Day
127,C051,60,4,02-11-2023,14:04:38,03-11-2023,19:25:01,Dhanbad,Diwali
128,C065,12,3,06-03-2023,16:50:28,13-03-2023,15:11:19,Kochi,Anniversary
129,C051,67,2,17-02-2023,05:21:30,20-02-2023,08:17:32,Ramgarh,Anniversary
130,C070,10,5,22-04-2023,13:32:41,27-04-2023,22:01:54,Darbhanga,Birthday
131,C078,3,5,04-02-2023,20:30:50,11-02-2023,08:29:03,Satara,Valentine's Day
132,C045,49,4,04-02-2023,23:23:41,13-02-2023,19:55:48,Thoothukudi,Valentine's Day
133,C018,43,5,10-11-2023,15:51:54,16-11-2023,11:22:51,Tiruppur,Diwali
134,C036,69,5,05-03-2023,19:12:46,14-03-2023,04:58:29,Malda,Holi
135,C087,30,2,13-12-2023,10:20:09,14-12-2023,15:43:20,Bokaro,Anniversary
136,C036,56,1,05-09-2023,16:08:59,09-09-2023,22:12:18,Guna,Anniversary
137,C070,47,2,05-03-2023,16:06:24,11-03-2023,07:29:21,Warangal,Holi
138,C022,57,4,11-03-2023,09:33:56,18-03-2023,06:02:40,Siliguri,Birthday
139,C055,54,4,11-05-2023,04:14:45,16-05-2023,18:12:44,Amritsar,Anniversary
140,C015,47,1,04-03-2023,06:19:35,13-03-2023,21:29:35,Bharatpur,Holi
141,C062,35,4,28-02-2023,03:55:06,10-03-2023,02:31:56,Allahabad,Holi
142,C029,23,2,23-10-2023,02:31:13,27-10-2023,04:24:16,Bharatpur,Anniversary
143,C087,66,2,28-02-2023,07:37:18,10-03-2023,14:49:54,Ramagundam,Holi
144,C090,51,5,18-01-2023,09:01:03,23-01-2023,03:23:15,Srinagar,All Occasions
145,C055,59,5,29-08-2023,16:52:56,03-09-2023,13:04:25,Kumbakonam,Raksha Bandhan
146,C030,52,5,13-02-2023,18:23:55,16-02-2023,04:07:37,Vijayawada,Valentine's Day
147,C080,8,4,17-03-2023,19:28:15,23-03-2023,13:51:11,Jodhpur,Anniversary
148,C046,24,3,05-12-2023,02:09:08,07-12-2023,08:57:38,Gopalpur,Birthday
149,C008,5,3,06-10-2023,23:23:09,09-10-2023,20:09:12,Mangalore,All Occasions
150,C092,27,5,26-08-2023,07:18:17,29-08-2023,16:56:13,Bidar,Raksha Bandhan
151,C051,43,1,03-11-2023,21:42:26,10-11-2023,03:56:02,Jalna,Diwali
152,C084,51,2,27-02-2023,10:48:51,05-03-2023,16:39:22,Tiruppur,All Occasions
153,C094,16,4,04-03-2023,12:15:00,10-03-2023,06:04:43,Rewa,Holi
154,C049,45,5,21-11-2023,23:14:18,25-11-2023,02:04:59,Indore,Birthday
155,C023,23,3,01-05-2023,14:46:58,06-05-2023,00:00:30,Sambhal,Anniversary
156,C030,61,2,09-02-2023,08:20:50,12-02-2023,10:49:14,Ozhukarai,Anniversary
157,C019,35,3,26-02-2023,12:44:17,06-03-2023,11:35:44,Thiruvananthapuram,Holi
158,C007,35,2,03-03-2023,15:40:17,08-03-2023,02:53:01,Medininagar,Holi
159,C095,43,3,09-11-2023,21:31:39,11-11-2023,04:55:56,Davanagere,Diwali
160,C037,36,3,02-06-2023,00:28:57,10-06-2023,07:52:59,Moradabad,Birthday
161,C054,58,3,13-02-2023,03:08:06,14-02-2023,23:12:01,Karaikudi,Valentine's Day
162,C050,55,3,27-08-2023,06:14:31,05-09-2023,15:53:45,Barasat,Raksha Bandhan
163,C083,54,4,17-02-2023,19:50:10,25-02-2023,10:20:16,Ujjain,Anniversary
164,C063,14,5,25-04-2023,02:04:02,27-04-2023,11:49:33,Berhampore,Birthday
165,C058,40,5,06-08-2023,13:11:16,10-08-2023,08:37:14,Lucknow,Anniversary
166,C035,4,3,07-11-2023,23:05:28,10-11-2023,06:12:46,Madanapalle,Diwali
167,C019,37,4,04-11-2023,01:26:51,07-11-2023,15:16:27,Nangloi Jat,Diwali
168,C092,35,2,04-03-2023,15:36:03,07-03-2023,11:02:42,Bidar,Holi
169,C051,3,2,06-02-2023,10:28:57,16-02-2023,01:26:19,Shivpuri,Valentine's Day
170,C040,32,2,21-03-2023,11:58:13,27-03-2023,05:14:07,Kamarhati,Birthday
171,C071,54,3,30-06-2023,11:47:49,08-07-2023,12:27:06,Tiruvottiyur,Anniversary
172,C070,62,4,03-03-2023,04:40:04,08-03-2023,05:12:47,Patiala,Holi
173,C072,58,2,07-02-2023,23:15:37,13-02-2023,01:51:53,Deoghar,Valentine's Day
174,C048,4,3,03-11-2023,15:39:20,13-11-2023,18:06:46,Malda,Diwali
175,C042,31,1,13-10-2023,01:17:47,20-10-2023,07:22:52,Navi Mumbai,All Occasions
176,C039,17,2,10-03-2023,03:34:46,16-03-2023,17:24:51,Moradabad,Anniversary
177,C085,62,4,05-03-2023,01:49:12,07-03-2023,14:50:42,Satara,Holi
178,C097,61,1,14-11-2023,23:04:31,16-11-2023,02:14:23,Bhilai,Anniversary
179,C078,47,3,28-02-2023,15:16:02,10-03-2023,14:31:07,Vijayanagaram,Holi
180,C058,55,2,24-08-2023,16:40:33,27-08-2023,08:45:14,Nellore,Raksha Bandhan
181,C064,10,4,28-08-2023,05:55:22,06-09-2023,04:53:28,Howrah,Birthday
182,C070,2,1,08-02-2023,23:21:30,15-02-2023,06:07:33,Chennai,Valentine's Day
183,C082,48,3,09-11-2023,18:11:41,11-11-2023,15:29:26,Bahraich,Diwali
184,C027,52,3,11-02-2023,21:34:53,20-02-2023,05:00:29,Dharmavaram,Valentine's Day
185,C068,18,1,07-05-2023,07:10:45,17-05-2023,20:00:43,Raurkela Industrial Township,Birthday
186,C048,61,1,09-05-2023,09:09:44,11-05-2023,00:16:23,Kollam,Anniversary
187,C008,49,5,11-02-2023,21:10:41,16-02-2023,09:34:09,Anantapur,Valentine's Day
188,C067,22,5,18-09-2023,01:38:33,25-09-2023,14:02:12,Serampore,All Occasions
189,C016,57,1,19-11-2023,17:22:19,22-11-2023,13:21:54,Srikakulam,Birthday
190,C096,60,5,09-11-2023,12:33:49,13-11-2023,13:41:24,Darbhanga,Diwali
191,C012,24,3,12-10-2023,18:13:06,17-10-2023,08:50:02,Etawah,Birthday
192,C060,64,5,20-08-2023,12:28:32,21-08-2023,02:11:18,Vijayanagaram,Raksha Bandhan
193,C038,42,4,16-08-2023,23:44:29,19-08-2023,02:34:02,Nanded,All Occasions
194,C030,58,4,08-02-2023,11:41:29,09-02-2023,04:54:30,Pondicherry,Valentine's Day
195,C037,67,5,10-04-2023,05:33:53,17-04-2023,07:51:40,Jamalpur,Anniversary
196,C063,30,2,05-08-2023,09:37:50,13-08-2023,08:58:06,Begusarai,Anniversary
197,C095,45,2,22-03-2023,18:38:42,26-03-2023,03:30:06,Etawah,Birthday
198,C090,24,2,27-08-2023,22:33:37,04-09-2023,01:09:50,Phagwara,Birthday
199,C093,70,5,16-08-2023,01:54:30,19-08-2023,16:24:59,Bareilly,Birthday
200,C067,23,5,03-01-2023,20:04:16,08-01-2023,23:18:52,Agartala,Anniversary
201,C004,55,4,24-08-2023,04:40:14,30-08-2023,03:52:28,Dewas,Raksha Bandhan
202,C089,36,5,27-07-2023,08:13:48,01-08-2023,03:02:01,Bhimavaram,Birthday
203,C039,9,5,29-08-2023,05:39:00,08-09-2023,22:40:14,Vijayanagaram,Raksha Bandhan
204,C062,10,4,03-07-2023,10:46:43,09-07-2023,06:29:03,Jaipur,Birthday
205,C022,46,5,06-07-2023,05:17:21,09-07-2023,11:47:12,Davanagere,Anniversary
206,C099,68,3,11-02-2023,22:12:16,13-02-2023,12:42:01,Ulhasnagar,Valentine's Day
207,C078,6,2,05-03-2023,01:13:16,07-03-2023,12:15:56,Amravati,Holi
208,C001,18,5,02-04-2023,04:30:47,12-04-2023,07:06:36,Kulti,Birthday
209,C071,70,2,22-06-2023,00:44:32,23-06-2023,21:44:32,Hajipur,Birthday
210,C095,32,4,10-12-2023,00:46:32,15-12-2023,08:02:35,Aligarh,Birthday
211,C043,31,5,22-10-2023,18:14:59,29-10-2023,17:40:03,Orai,All Occasions
212,C093,7,2,28-02-2023,07:14:40,05-03-2023,20:01:45,Ozhukarai,Holi
213,C022,42,5,14-02-2023,08:26:18,24-02-2023,08:58:11,Dehradun,All Occasions
214,C099,13,3,01-03-2023,07:49:55,07-03-2023,08:27:25,Durgapur,Holi
215,C098,17,1,21-05-2023,03:54:26,24-05-2023,12:37:34,Katni,Anniversary
216,C004,23,1,03-10-2023,15:46:35,08-10-2023,20:46:28,Bhatpara,Anniversary
217,C042,53,4,27-08-2023,03:04:34,30-08-2023,16:42:19,Rajkot,Raksha Bandhan
218,C061,31,4,13-06-2023,22:55:11,16-06-2023,03:06:01,Gurgaon,All Occasions
219,C027,16,5,05-03-2023,00:36:07,11-03-2023,10:36:05,Bhimavaram,Holi
220,C001,26,3,06-03-2023,12:26:54,15-03-2023,14:41:52,Jalandhar,Holi
221,C076,28,4,21-08-2023,02:11:04,30-08-2023,14:00:35,Naihati,Raksha Bandhan
222,C099,6,5,26-02-2023,05:57:25,07-03-2023,18:20:50,Guntur,Holi
223,C051,49,2,05-02-2023,08:44:25,13-02-2023,10:17:59,Bhalswa Jahangir Pur,Valentine's Day
224,C028,34,1,24-08-2023,21:01:58,29-08-2023,02:06:40,Suryapet,Raksha Bandhan
225,C093,52,5,05-02-2023,12:12:26,06-02-2023,18:01:06,Arrah,Valentine's Day
226,C064,14,2,08-09-2023,08:48:50,12-09-2023,11:20:36,Hospet,Birthday
227,C004,24,4,25-12-2023,18:50:42,26-12-2023,14:09:44,Surat,Birthday
228,C035,36,1,10-03-2023,18:40:52,11-03-2023,10:30:00,Bijapur,Birthday
229,C079,49,3,11-02-2023,20:55:38,20-02-2023,09:32:50,Junagadh,Valentine's Day
230,C053,64,3,27-08-2023,08:27:50,01-09-2023,01:35:49,Mehsana,Raksha Bandhan
231,C093,64,3,24-08-2023,09:15:18,28-08-2023,21:13:01,Proddatur,Raksha Bandhan
232,C044,28,3,22-08-2023,12:06:09,23-08-2023,09:00:02,Nadiad,Raksha Bandhan
233,C098,64,4,26-08-2023,22:15:19,30-08-2023,04:07:39,Nizamabad,Raksha Bandhan
234,C097,42,1,24-03-2023,21:18:12,01-04-2023,00:36:53,Khandwa,All Occasions
235,C071,56,2,26-02-2023,14:26:46,03-03-2023,23:26:23,Bhilai,Anniversary
236,C044,23,5,03-09-2023,06:33:52,11-09-2023,02:10:18,Panvel,Anniversary
237,C024,55,1,26-08-2023,09:23:53,30-08-2023,08:19:20,Sasaram,Raksha Bandhan
238,C083,26,4,05-03-2023,07:56:43,11-03-2023,20:18:17,Jammu,Holi
239,C088,27,3,29-08-2023,08:33:45,06-09-2023,13:23:08,Gurgaon,Raksha Bandhan
240,C074,5,5,25-03-2023,06:03:38,30-03-2023,15:43:28,Darbhanga,All Occasions
241,C067,20,2,05-09-2023,09:52:16,07-09-2023,08:58:21,Indore,Anniversary
242,C012,21,1,23-08-2023,10:24:46,31-08-2023,16:02:32,Amroha,Raksha Bandhan
243,C043,3,1,05-02-2023,20:50:37,10-02-2023,12:30:54,Siwan,Valentine's Day
244,C041,65,3,20-03-2023,15:06:01,30-03-2023,07:06:40,Guntakal,All Occasions
245,C020,50,3,05-03-2023,06:25:26,11-03-2023,09:30:30,Noida,Holi
246,C017,69,5,28-02-2023,23:24:33,08-03-2023,00:38:49,Agra,Holi
247,C052,23,4,11-10-2023,05:58:48,16-10-2023,02:58:46,Gudivada,Anniversary
248,C044,19,5,08-02-2023,08:43:41,10-02-2023,04:15:01,Alwar,Valentine's Day
249,C003,14,2,10-09-2023,22:22:16,19-09-2023,23:17:36,Bareilly,Birthday
250,C086,37,5,08-11-2023,15:07:27,09-11-2023,01:32:06,Korba,Diwali
251,C051,7,4,28-02-2023,00:31:48,02-03-2023,00:19:44,Khora ,Holi
252,C040,69,2,26-02-2023,05:41:28,28-02-2023,08:11:16,Nandyal,Holi
253,C010,68,2,12-02-2023,14:24:46,14-02-2023,05:39:27,Bangalore,Valentine's Day
254,C093,1,5,07-07-2023,00:09:44,15-07-2023,05:27:49,Bhilai,All Occasions
255,C092,45,2,27-12-2023,03:42:35,06-01-2024,09:23:14,Suryapet,Birthday
256,C065,4,5,06-11-2023,19:13:49,14-11-2023,18:05:55,Suryapet,Diwali
257,C077,21,3,22-08-2023,15:42:59,24-08-2023,22:39:39,Chinsurah,Raksha Bandhan
258,C044,46,5,16-04-2023,05:40:39,20-04-2023,20:05:32,Vijayawada,Anniversary
259,C001,62,1,05-03-2023,15:21:54,10-03-2023,00:04:01,Sirsa,Holi
260,C100,69,5,06-03-2023,13:06:11,16-03-2023,22:22:30,Satara,Holi
261,C041,37,3,06-11-2023,14:03:50,12-11-2023,20:17:47,Malegaon,Diwali
262,C038,49,3,07-02-2023,08:05:16,11-02-2023,01:06:57,Tirunelveli,Valentine's Day
263,C081,57,4,12-03-2023,09:35:10,13-03-2023,15:22:01,Chittoor,Birthday
264,C010,52,3,09-02-2023,05:35:19,18-02-2023,15:43:46,Asansol,Valentine's Day
265,C060,58,1,10-02-2023,21:17:18,18-02-2023,06:28:33,Gudivada,Valentine's Day
266,C038,36,1,12-05-2023,13:46:56,13-05-2023,19:20:09,Sonipat,Birthday
267,C055,35,3,04-03-2023,13:38:57,12-03-2023,03:52:00,Chandrapur,Holi
268,C053,38,1,14-08-2023,07:45:59,23-08-2023,16:53:30,Katni,Birthday
269,C024,36,1,25-10-2023,01:12:12,26-10-2023,17:58:13,Raebareli,Birthday
270,C084,21,5,22-08-2023,20:21:29,01-09-2023,16:03:59,Avadi,Raksha Bandhan
271,C039,36,5,23-06-2023,18:27:42,30-06-2023,18:20:05,Patna,Birthday
272,C016,12,1,08-04-2023,09:40:05,18-04-2023,20:13:56,Kumbakonam,Anniversary
273,C047,10,2,22-11-2023,16:12:35,24-11-2023,01:52:48,Moradabad,Birthday
274,C078,41,5,02-11-2023,06:37:51,12-11-2023,20:53:36,Raebareli,Diwali
275,C028,29,1,02-03-2023,04:13:47,05-03-2023,01:17:39,Ranchi,Holi
276,C065,15,2,28-05-2023,01:34:06,01-06-2023,07:05:33,Muzaffarpur,Anniversary
277,C062,34,5,23-08-2023,19:16:40,29-08-2023,15:50:18,Bhilai,Raksha Bandhan
278,C044,1,2,20-06-2023,23:33:52,24-06-2023,05:42:44,Ballia,All Occasions
279,C067,23,4,24-11-2023,09:14:46,26-11-2023,17:51:23,Chinsurah,Anniversary
280,C003,19,3,07-02-2023,17:44:47,12-02-2023,16:31:05,Mangalore,Valentine's Day
281,C008,15,3,21-09-2023,20:36:47,25-09-2023,10:27:14,Nellore,Anniversary
282,C092,41,2,11-11-2023,10:20:49,19-11-2023,22:11:40,Mangalore,Diwali
283,C086,23,2,23-11-2023,02:51:34,30-11-2023,18:21:40,Erode,Anniversary
284,C057,17,1,10-08-2023,16:13:04,16-08-2023,11:21:57,Aurangabad,Anniversary
285,C082,7,5,26-02-2023,17:26:44,01-03-2023,12:52:20,Tirunelveli,Holi
286,C098,50,3,06-03-2023,20:05:40,12-03-2023,02:41:27,Mango,Holi
287,C011,7,5,03-03-2023,04:54:04,06-03-2023,15:39:57,Muzaffarnagar,Holi
288,C035,34,2,21-08-2023,15:58:58,23-08-2023,20:42:36,Ballia,Raksha Bandhan
289,C018,30,4,29-08-2023,23:40:01,06-09-2023,02:50:06,Imphal,Anniversary
290,C079,69,3,06-03-2023,10:27:18,10-03-2023,14:33:34,Alwar,Holi
291,C072,49,2,10-02-2023,00:12:40,11-02-2023,22:52:51,Nadiad,Valentine's Day
292,C053,54,1,27-09-2023,22:43:35,03-10-2023,01:44:47,Howrah,Anniversary
293,C003,1,4,04-09-2023,04:03:47,09-09-2023,18:10:36,Tezpur,All Occasions
294,C047,26,5,01-03-2023,21:04:18,03-03-2023,19:44:54,Nagpur,Holi
